ID,角数,名称,攻击,特攻,防御,特防,速度,体力,总和,系列
41041,5,混沌初拥,30,0,35,35,35,100,235,混沌
41042,5,魔君圣威,60,0,30,30,35,80,235,混沌
41050,3,偃月之云,0,0,50,50,0,90,190,偃月
41051,3,偃月之华,75,0,40,40,0,0,155,偃月
41052,3,偃月之霜,0,75,40,40,0,0,155,偃月
41053,3,偃月之光,0,0,60,60,32,0,152,偃月
41057,5,焚世之炎,55,0,35,35,28,87,240,精灵王誓约
41077,5,邪之灰烬,0,45,30,30,30,85,220,精灵王
41078,5,茵之不息,0,40,30,30,25,95,220,精灵王
41079,5,芳之无暇,0,42,30,30,28,90,220,精灵王
41080,5,古之磐礴,35,0,35,35,25,90,220,精灵王
41112,5,V8-01,47,0,27,27,41,82,224,V8
41113,5,V8-02,0,47,27,27,41,82,224,V8
41114,5,V8-03,62,0,27,27,30,79,225,V8
41115,5,V8-04,0,62,27,27,30,79,225,V8
41116,5,V8-05,42,0,31,31,26,115,245,V8
41117,5,V8-06,0,42,31,31,26,115,245,V8
41118,5,V8-07,25,0,45,45,27,90,232,V8
41119,5,V8-08,0,25,45,45,27,90,232,V8
41138,5,堕落泰坦专属全能刻印,30,0,30,30,30,100,220,专属刻印
41156,5,天启帝君专属全能刻印,54,0,30,30,36,80,230,专属刻印
41192,5,光之惩戒·英卡洛斯专属全能刻印,50,0,25,25,38,80,218,专属刻印
41196,5,卡兰守护,0,44,30,30,25,115,244,星系守护
41197,5,罗格守护,58,0,28,28,30,80,224,星系守护
41199,5,帕诺守护,25,0,50,50,20,88,233,星系守护
41200,5,螺旋守护,48,0,30,30,32,86,226,星系守护
41205,5,战之狂热·英卡洛斯专属全能刻印,30,0,35,35,25,100,225,专属刻印
41286,5,九天之疾,48,0,28,28,41,84,229,九天
41287,5,九天之速,0,48,28,28,41,84,229,九天
41288,5,九曲之刃,63,0,28,28,31,80,230,九天
41289,5,九曲之光,0,63,28,28,31,80,230,九天
41290,5,九霄之钟,44,0,31,31,28,116,250,九天
41291,5,九霄之灵,0,44,31,31,28,116,250,九天
41292,5,九鼎之承,26,0,46,46,28,91,237,九天
41293,5,九鼎之重,0,26,46,46,28,91,237,九天
41300,5,艾夏拉专属全能刻印,0,45,30,30,30,85,220,专属刻印
41313,2,衡·生机α,0,0,58,0,0,115,173,衡山路
41314,2,衡·幻梦α,0,78,0,68,0,0,146,衡山路
41315,2,衡·生灵α,0,0,0,58,0,115,173,衡山路
41316,2,衡·巡游α,78,0,68,0,0,0,146,衡山路
41317,2,衡·巨刃α,58,0,0,0,0,115,173,衡山路
41318,2,衡·飓风α,0,0,0,0,32,115,147,衡山路
41319,2,衡·聚魂α,0,58,0,0,0,115,173,衡山路
41320,2,衡·守望α,0,0,75,75,0,0,150,衡山路
41321,2,衡·疾袭α,80,0,0,0,33,0,113,衡山路
41322,2,衡·迅箭α,0,80,0,0,33,0,113,衡山路
41323,2,衡·突围α,0,0,75,0,35,0,110,衡山路
41324,2,衡·破咒α,0,0,0,75,35,0,110,衡山路
41325,3,偃月之云α,0,0,52,52,0,95,199,偃月
41326,3,偃月之华α,78,0,42,42,0,0,162,偃月
41327,3,偃月之霜α,0,78,42,42,0,0,162,偃月
41328,3,偃月之光α,0,0,62,62,35,0,159,偃月
41329,5,圣战之巅,46,0,26,26,38,85,221,圣战
41330,5,圣战之绝,0,46,26,26,38,85,221,圣战
41331,5,圣战之锋,58,0,28,28,30,78,222,圣战
41332,5,圣战之舞,0,58,28,28,30,78,222,圣战
41333,5,圣战之渊,40,0,30,30,25,108,233,圣战
41334,5,圣战之鸿,0,40,30,30,25,108,233,圣战
41335,5,圣战之界,30,0,38,38,28,90,224,圣战
41336,5,圣战之阵,0,30,38,38,28,90,224,圣战
41338,5,圣战之无限,50,50,24,24,0,108,256,圣战
41400,5,沧海之笙,0,55,30,30,30,95,240,精灵王誓约
41463,5,混元天尊专属全能刻印,55,0,30,30,36,80,231,专属刻印
41473,5,轮回之镜,50,0,35,35,35,80,235,英雄圣殿
41482,3,新春之晓,0,0,40,40,0,100,180,莱达神谕
41502,5,龙神哈莫专属全能刻印,45,0,30,30,30,90,225,专属刻印
41606,5,十年·筑梦,50,0,30,30,43,92,245,十周年
41607,5,十年·磨砺,0,50,30,30,43,92,245,十周年
41608,5,十年·光阴,65,0,30,30,32,88,245,十周年
41609,5,十年·成长,0,65,30,30,32,88,245,十周年
41610,5,十年·新生,36,0,32,32,25,130,255,十周年
41611,5,十年·同舟,0,36,32,32,25,130,255,十周年
41612,5,十年·热爱,27,0,50,50,28,90,245,十周年
41613,5,十年·再续,0,27,50,50,28,90,245,十周年
41682,3,伪装祝福,0,0,60,60,0,95,215,天蛇
41700,5,V10-01,52,0,30,30,43,95,250,十周年
41701,5,V10-02,0,52,30,30,43,95,250,十周年
41702,5,V10-03,65,0,30,30,33,92,250,十周年
41703,5,V10-04,0,65,30,30,33,92,250,十周年
41704,5,V10-05,40,0,32,32,26,130,260,十周年
41705,5,V10-06,0,40,32,32,26,130,260,十周年
41706,5,V10-07,30,0,50,50,30,90,250,十周年
41707,5,V10-08,0,30,50,50,30,90,250,十周年
41727,5,堕世之翼,65,0,25,25,35,85,235,英雄圣殿
41731,5,启灵元神专属全能刻印,0,50,30,30,36,85,231,专属刻印
41739,5,四九神光,60,0,28,28,30,80,226,四九
41740,5,四九威能,0,60,28,28,30,80,226,四九
41742,3,新春之禧,75,0,45,45,0,0,165,新春
41743,3,新春之岁,0,75,45,45,0,0,165,新春
41744,3,新春之祥,50,50,0,0,0,80,180,新春
41751,5,魔君遗怨,0,45,30,30,40,90,235,混沌
41759,5,御象灵尊专属全能刻印α,50,0,30,30,40,90,240,专属刻印
41828,5,春之契约,0,50,30,30,25,95,230,莱达神谕
41829,5,冬之契约,0,25,45,45,25,90,230,莱达神谕
41830,5,秋之契约,0,40,25,25,25,115,230,莱达神谕
41831,5,夏之契约,0,45,30,30,40,85,230,莱达神谕
41881,2,瀚宇·彗,75,0,0,0,35,0,110,英雄圣殿
41885,2,天启·彗,0,75,0,0,35,0,110,英雄圣殿
41929,5,圣·真我,0,45,30,30,25,100,230,圣能
41955,5,弑序神罗专属全能刻印,0,50,30,30,36,85,231,专属刻印
41978,5,贝狄薇尔专属全能刻印α,50,0,30,30,40,90,240,专属刻印
41984,4,神牛·好运到,30,30,0,0,35,80,175,神牛
41987,3,神牛·祥瑞,0,0,40,40,0,80,160,神牛
41988,3,神牛·洪福,40,40,0,0,0,80,160,神牛
42014,5,浮云之华,75,0,20,20,35,50,200,浮云
42015,5,浮云之梦,20,0,60,60,20,60,220,浮云
42016,5,浮云之光,0,75,20,20,35,50,200,浮云
42017,5,浮云之灵,0,20,60,60,20,60,220,浮云
42040,5,神罗之诏,50,0,30,30,38,85,233,专属刻印
42046,5,穷奇之邪,51,0,28,28,41,87,235,凶兽
42047,5,穷奇之魅,0,51,28,28,41,87,235,凶兽
42048,5,梼杌之狂,65,0,27,27,31,86,236,凶兽
42049,5,梼杌之傲,0,65,27,27,31,86,236,凶兽
42050,5,饕餮之吞,41,0,32,32,24,121,250,凶兽
42051,5,饕餮之噬,0,41,32,32,24,121,250,凶兽
42052,5,混沌之隐,26,0,48,48,28,91,241,凶兽
42053,5,混沌之匿,0,26,48,48,28,91,241,凶兽
42068,5,灼狱之鳞,0,60,28,28,25,80,221,专属刻印
42098,5,天命图腾,30,0,40,40,15,100,225,专属刻印
42135,5,长夜之轮,0,25,40,40,40,90,235,莱达神谕
42138,5,至序圣华专属全能刻印,0,40,35,35,38,85,233,专属刻印
42149,5,倪克斯专属全能刻印α,0,55,30,30,40,90,245,专属刻印
42156,5,焰火·福虎祥瑞,40,0,30,30,25,105,230,焰火
42160,5,焰火·华光流彩,0,40,30,30,25,105,230,焰火
42167,5,曲率核心,0,60,25,25,30,90,230,英雄之证
42174,5,凛锋冢,38,0,34,34,40,94,240,英雄之证
42187,5,彼方之扉,0,45,40,40,20,95,240,英雄之证
42209,5,魅狐灵符,0,56,29,29,40,86,240,英雄之证
42210,5,四九灵光,29,0,34,34,19,119,235,四九
42211,5,四九幻灵,0,37,29,29,41,89,225,四九
42212,5,蒂朵专属全能刻印,0,55,30,30,30,85,230,专属刻印
42213,5,青啼专属全能刻印,40,0,30,30,38,82,220,专属刻印
42214,5,星璨·梦响,60,0,30,30,40,100,260,星璨灵籁
42215,5,星璨·幻响,0,60,30,30,40,100,260,星璨灵籁
42216,5,星璨·遐响,55,0,30,30,30,115,260,星璨灵籁
42217,5,星璨·狂响,0,55,30,30,30,115,260,星璨灵籁
42218,5,星璨·沉响,54,0,43,43,30,90,260,星璨灵籁
42219,5,星璨·彻响,0,54,43,43,30,90,260,星璨灵籁
42220,5,拥风之羽,46,0,29,29,41,95,240,精灵王誓约
42221,5,黯辰之羽,56,0,29,29,41,85,240,精灵王誓约
42222,5,繁馨之芳,0,45,30,30,20,115,240,精灵王誓约
42223,5,无间之岳,30,0,45,45,20,100,240,精灵王誓约
42224,5,悼亡之岳,50,0,25,25,25,115,240,精灵王誓约
42225,5,冥妖之寂,0,55,30,30,25,100,240,精灵王誓约
42226,5,源生之契,0,55,25,25,40,95,240,精灵王誓约
42227,5,龙荒之息,50,0,40,40,20,90,240,精灵王誓约
42228,5,寒渊之月,55,0,35,35,30,85,240,精灵王誓约
42229,5,灼雷之迅,45,0,40,40,40,75,240,精灵王誓约
42232,5,灵籁·欢夏,48,0,30,30,40,112,260,星璨灵籁
42233,5,灵籁·觅夏,0,48,30,30,40,112,260,星璨灵籁
42234,5,灵籁·逐夏,32,0,45,45,26,112,260,星璨灵籁
42235,5,灵籁·伴夏,0,32,45,45,26,112,260,星璨灵籁
42236,5,灵籁·爽夏,40,0,45,45,40,90,260,星璨灵籁
42237,5,灵籁·沁夏,0,40,45,45,40,90,260,星璨灵籁
42239,5,缔笙专属全能刻印,0,50,30,30,40,85,235,专属刻印
42240,5,K13-01,52,0,30,30,43,100,255,K13
42241,5,K13-02,0,52,30,30,43,100,255,K13
42242,5,K13-03,70,0,31,31,36,87,255,K13
42243,5,K13-04,0,70,31,31,36,87,255,K13
42244,5,K13-05,42,0,33,33,27,130,265,K13
42245,5,K13-06,0,42,33,33,27,130,265,K13
42246,5,K13-07,25,0,54,54,27,95,255,K13
42247,5,K13-08,0,25,54,54,27,95,255,K13
42252,5,虹音之翼,0,46,28,28,40,88,230,英雄之证
42253,5,折光之章,0,40,40,40,20,90,230,英雄之证
42254,5,灼狱之鳞,0,55,30,30,20,95,230,英雄之证
42255,5,天垒之芒,0,38,30,30,20,112,230,英雄之证
42261,5,圣华之证,62,0,29,29,30,85,235,英雄之证
42285,5,珍宝·尘封战甲,35,0,30,30,25,108,228,珍宝
42286,5,珍宝·异维晶核,0,35,30,30,25,108,228,珍宝
42290,5,源生龙心,50,0,30,30,20,100,230,英雄之证
42291,5,淘·盛典共欢,32,0,27,27,24,120,230,淘乐
42292,5,淘·盛典共享,52,0,26,26,40,86,230,淘乐
42293,5,淘·盛典共乐,25,0,45,45,20,95,230,淘乐
42294,5,淘·盛典共庆,0,32,27,27,24,120,230,淘乐
42295,5,淘·盛典共喜,0,52,26,26,40,86,230,淘乐
42296,5,淘·盛典共贺,0,25,45,45,20,95,230,淘乐
42306,5,逐界苍星专属全能刻印,0,40,30,30,40,95,235,专属刻印
42311,5,圣战之绝α,0,46,28,28,40,88,230,圣战
42311,5,圣战之巅α,46,0,28,28,40,88,230,圣战
42312,5,圣战之锋α,60,0,28,28,32,82,230,圣战
42313,5,圣战之舞α,0,60,28,28,32,82,230,圣战
42314,5,圣战之渊α,41,0,30,30,26,113,240,圣战
42315,5,圣战之鸿α,0,41,30,30,26,113,240,圣战
42316,5,圣战之界α,32,0,40,40,28,90,230,圣战
42317,5,圣战之阵α,0,32,40,40,28,90,230,圣战
42318,5,圣战之究极α,55,55,30,30,40,0,210,圣战
42319,5,圣战之无限α,50,50,25,25,0,113,263,圣战
42320,5,梅之绝艳,43,0,30,30,26,126,255,四君子
42321,5,梅之傲寒,0,43,30,30,26,126,255,四君子
42322,5,兰之谦逊,28,0,48,48,27,92,243,四君子
42323,5,兰之淡雅,0,28,48,48,27,92,243,四君子
42324,5,菊之隐逸,48,0,31,31,42,88,240,四君子
42325,5,菊之孤洁,0,48,31,31,42,88,240,四君子
42326,5,竹之青翠,65,0,28,28,32,87,240,四君子
42327,5,竹之虚怀,0,65,28,28,32,87,240,四君子
42329,5,始皇帝·嬴政专属全能刻印α,0,60,28,28,40,90,246,专属刻印
42330,5,异元之铭·判,32,0,30,30,25,113,230,异元之铭
42331,5,异元之铭·阵,50,0,25,25,40,90,230,异元之铭
42332,5,异元之铭·极,35,0,35,35,35,90,230,异元之铭
42333,5,异元之铭·破,40,0,40,40,20,90,230,异元之铭
42334,5,异元之铭·堕,60,0,30,30,25,85,230,异元之铭
42353,2,瓏·子影,95,0,0,0,41,0,136,瓏域
42354,2,瓏·丑斥,80,0,0,0,0,125,205,瓏域
42355,2,瓏·寅勇,95,0,0,0,0,110,205,瓏域
42356,2,瓏·卯脱,95,0,80,0,0,0,175,瓏域
42357,2,瓏·辰威,95,0,0,80,0,0,175,瓏域
42358,2,瓏·巳伏,0,0,0,0,41,110,151,瓏域
42359,2,瓏·午奔,0,95,0,0,41,0,136,瓏域
42360,2,瓏·未瑞,0,80,0,0,0,125,205,瓏域
42361,2,瓏·申惠,0,95,0,0,0,110,205,瓏域
42362,2,瓏·酉扬,0,95,80,0,0,0,175,瓏域
42363,2,瓏·戌猎,0,95,0,80,0,0,175,瓏域
42364,2,瓏·亥蛮,0,0,0,0,40,125,165,瓏域
42365,4,穹明拾光,54,54,0,0,25,122,255,瓏域
42366,5,瓏腾四海,0,52,32,32,39,110,265,瓏域
42367,5,悍武一方,58,0,29,29,41,98,255,瓏域
42368,5,沧吟星海·逐,58,0,32,32,43,90,255,沧吟星海
42369,5,沧吟星海·浪,0,58,32,32,43,90,255,沧吟星海
42370,5,沧吟星海·歌,70,0,30,30,38,87,255,沧吟星海
42371,5,沧吟星海·诗,0,70,30,30,38,87,255,沧吟星海
42372,5,沧吟星海·辉,48,0,30,30,27,130,265,沧吟星海
42373,5,沧吟星海·痕,0,48,30,30,27,130,265,沧吟星海
42374,5,沧吟星海·瀚,25,0,55,55,20,100,255,沧吟星海
42375,5,沧吟星海·澜,0,25,55,55,20,100,255,沧吟星海
42376,5,霍光专属全能刻印,53,0,28,28,40,86,235,专属刻印
42377,5,悍武一方β,53,0,28,28,40,86,235,瓏域
42381,5,大闹天宫·大圣,45,0,23,23,38,91,220,大闹天宫
42382,5,大闹天宫·龙王,0,50,25,25,25,95,220,大闹天宫
42383,5,大闹天宫·神君,55,0,25,25,35,80,220,大闹天宫
42387,2,锦·水红,82,0,0,0,36,0,118,锦
42388,2,锦·嫣红,0,82,0,0,36,0,118,锦
42389,2,锦·绯红,0,0,0,0,35,118,153,锦
42390,2,锦·铅白,61,0,0,0,0,117,178,锦
42391,2,锦·荼白,80,0,71,0,0,0,151,锦
42392,2,锦·月白,80,0,0,71,0,0,151,锦
42393,2,锦·石青,0,61,0,0,0,117,178,锦
42394,2,锦·竹青,0,80,71,0,0,0,151,锦
42395,2,锦·玄青,0,80,0,71,0,0,151,锦
42396,2,锦·湖蓝,0,0,80,80,0,0,160,锦
42397,2,锦·蔚蓝,0,0,62,0,0,116,178,锦
42398,2,锦·黛蓝,0,0,0,62,0,116,178,锦
42399,3,梅染觉温,54,0,0,0,39,107,200,颜
42400,3,酡颜一笑,0,54,0,0,39,107,200,颜
42401,3,竹月泛影,0,0,41,41,0,110,192,颜
42402,3,绛紫如娥,0,0,56,56,40,0,152,颜
42408,5,幽诡之杖,0,63,30,30,30,87,240,英雄之证
42410,5,真心·翡翠,60,0,20,20,25,85,210,世界石
42411,5,预言·石榴石,0,60,20,20,25,85,210,世界石
42412,5,虚幻·紫水晶,42,0,25,25,38,90,220,世界石
42413,5,灵魂·黑玉,0,42,25,25,38,90,220,世界石
42414,5,莫塔里安专属全能刻印,0,35,30,30,40,105,240,专属刻印
42419,5,圣谕邪魇专属全能刻印,55,0,27,27,38,88,235,专属刻印
42427,2,流年·灵火,0,60,0,0,0,116,176,十二年之约
42428,2,流年·深寒,0,80,0,0,35,0,115,十二年之约
42429,2,流年·繁花,0,80,0,70,0,0,150,十二年之约
42430,2,流年·星光,0,80,70,0,0,0,150,十二年之约
42431,2,流年·寂夜,0,0,0,0,38,110,148,十二年之约
42432,2,流年·尘砂,0,0,0,0,33,116,149,十二年之约
42433,2,流年·天光,60,0,0,0,0,116,176,十二年之约
42434,2,流年·纯水,80,0,0,0,35,0,115,十二年之约
42435,2,流年·幻形,80,0,0,70,0,0,150,十二年之约
42436,2,流年·灼芒,80,0,70,0,0,0,150,十二年之约
42437,2,流年·疾电,0,0,60,0,0,116,176,十二年之约
42438,2,流年·斗影,0,0,0,60,0,116,176,十二年之约
42442,5,苍星之理,0,55,25,25,40,90,235,莱达神谕
42444,5,幻灵·雷霆,50,0,32,32,41,85,240,巅峰战令
42445,5,幻灵·飓风,0,50,32,32,41,85,240,巅峰战令
42446,5,幻灵·炽焰,65,0,27,27,34,87,240,巅峰战令
42447,5,幻灵·净水,0,65,27,27,34,87,240,巅峰战令
42448,5,幻灵·建木,35,0,45,45,25,90,240,巅峰战令
42449,5,幻灵·山岳,0,35,45,45,25,90,240,巅峰战令
42450,5,幻灵·光子,41,0,25,25,25,124,240,巅峰战令
42451,5,幻灵·暗影,0,41,25,25,25,124,240,巅峰战令
42454,5,空元行者专属全能刻印,0,45,30,30,40,90,235,专属刻印
42458,5,古堡记忆·猎魔,60,0,27,27,36,80,230,古堡记忆
42459,5,古堡记忆·蝶语,0,35,42,42,25,86,230,古堡记忆
42460,5,古堡记忆·入梦,0,50,25,25,40,90,230,古堡记忆
42461,5,古堡记忆·炼狱,50,0,25,25,30,100,230,古堡记忆
42462,5,古堡记忆·幻兽,0,40,26,26,25,113,230,古堡记忆
42463,5,圣耀之霆,55,0,25,25,40,95,240,精灵王誓约
42464,5,轰天之霆,60,0,23,23,38,96,240,精灵王誓约
42465,5,寂杀之凌,55,0,30,30,30,95,240,精灵王誓约
42466,5,不败之冕,59,0,29,29,43,90,250,精灵王誓约
42467,5,永昼之誓,0,51,28,28,41,87,235,莱达神谕
42468,5,斯布林蒂专属全能刻印,0,30,40,40,25,100,235,专属刻印
42469,5,萨芙凯特专属全能刻印,60,0,25,25,40,85,235,专属刻印
42474,5,源星之埃,60,0,32,32,21,90,240,精灵王誓约
42476,5,孤烛灯使专属全能刻印,0,45,31,31,39,94,240,专属刻印
42479,5,赫斯提亚专属全能刻印,0,54,30,30,35,91,240,专属刻印
42482,5,神邃之杯,0,40,27,27,41,100,235,莱达神谕
42483,5,告命之典,0,51,24,24,36,100,235,莱达神谕
42486,5,繁星传说,0,50,28,28,41,88,235,洛林卡
42487,5,黑月传说,0,61,27,27,36,84,235,洛林卡
42488,5,流光传说,0,36,30,30,28,116,235,洛林卡
42489,5,空夜传说,0,25,46,46,25,93,235,洛林卡
42490,5,电磁核心,50,0,28,28,41,88,235,洛林卡
42491,5,超限核心,61,0,27,27,36,84,235,洛林卡
42492,5,数模核心,36,0,30,30,28,116,235,洛林卡
42493,5,稳态核心,25,0,46,46,25,93,235,洛林卡
42494,5,蓓丽安特专属全能刻印,0,50,25,25,40,85,225,专属刻印
42495,5,克雷弗德专属全能刻印,41,0,26,26,40,92,225,专属刻印
42496,5,本源回响,0,46,28,28,43,110,255,洛林卡
42497,5,黄金螺旋,46,0,28,28,43,110,255,洛林卡
42498,5,本源回响β,0,45,27,27,41,100,240,洛林卡
42499,5,黄金螺旋β,45,0,27,27,41,100,240,洛林卡
42500,5,枫的记忆,0,51,27,27,41,84,230,英雄之证
42501,5,群星·奇旅,59,0,33,33,43,87,255,群星
42502,5,群星·远航,0,59,33,33,43,87,255,群星
42503,5,群星·相遇,70,0,28,28,40,89,255,群星
42504,5,群星·重逢,0,70,28,28,40,89,255,群星
42505,5,群星·知心,43,0,27,27,34,134,265,群星
42506,5,群星·共鸣,0,43,27,27,34,134,265,群星
42507,5,群星·记忆,25,0,60,60,20,90,255,群星
42508,5,群星·印象,0,25,60,60,20,90,255,群星


